Name,Type
POW,Operator
UMINUS,Operator
UNARY_PERCENT,Operator
UNIQUE,Operator
UPLUS,Operator
CONVERT,Parser
TO_DATE,Parser
TO_DOLLARS,Parser
TO_PERCENT,Parser
TO_PURE_NUMBER,Parser
TO_TEXT,Parser
AVEDEV,Statistical
AVERAGE,Statistical
AVERAGE.WEIGHTED,Statistical
AVERAGEA,Statistical
AVERAGEIF,Statistical
AVERAGEIFS,Statistical
BETA.DIST,Statistical
BETA.INV,Statistical
BETADIST,Statistical
BETAINV,Statistical
BINOM.DIST,Statistical
BINOM.INV,Statistical
BINOMDIST,Statistical
CHIDIST,Statistical
CHIINV,Statistical
CHISQ.DIST,Statistical
CHISQ.DIST.RT,Statistical
CHISQ.INV,Statistical
CHISQ.INV.RT,Statistical
CHISQ.TEST,Statistical
CHITEST,Statistical
CONFIDENCE,Statistical
CONFIDENCE.NORM,Statistical
CONFIDENCE.T,Statistical
CORREL,Statistical
COUNT,Statistical
COUNTA,Statistical
COVAR,Statistical
COVARIANCE.P,Statistical
COVARIANCE.S,Statistical
CRITBINOM,Statistical
DEVSQ,Statistical
EXPON.DIST,Statistical
EXPONDIST,Statistical
F.DIST,Statistical
F.DIST.RT,Statistical
F.INV,Statistical
F.INV.RT,Statistical
F.TEST,Statistical
FDIST,Statistical
FINV,Statistical
FISHER,Statistical
FISHERINV,Statistical
FORECAST,Statistical
FORECAST.LINEAR,Statistical
FTEST,Statistical
GAMMA,Statistical
GAMMA.DIST,Statistical
GAMMA.INV,Statistical
GAMMADIST,Statistical
GAMMAINV,Statistical
GAUSS,Statistical
GEOMEAN,Statistical
HARMEAN,Statistical
HYPGEOM.DIST,Statistical
HYPGEOMDIST,Statistical
INTERCEPT,Statistical
KURT,Statistical
LARGE,Statistical
LOGINV,Statistical
LOGNORM.DIST,Statistical
LOGNORM.INV,Statistical
LOGNORMDIST,Statistical
MARGINOFERROR,Statistical
MAX,Statistical
MAXA,Statistical
MAXIFS,Statistical
MEDIAN,Statistical
MIN,Statistical
MINA,Statistical
MINIFS,Statistical
MODE,Statistical
MODE.MULT,Statistical
MODE.SNGL,Statistical
NEGBINOM.DIST,Statistical
NEGBINOMDIST,Statistical
NORM.DIST,Statistical
NORM.INV,Statistical
NORM.S.DIST,Statistical
NORM.S.INV,Statistical
NORMDIST,Statistical
NORMINV,Statistical
NORMSDIST,Statistical
NORMSINV,Statistical
PEARSON,Statistical
PERCENTILE,Statistical
PERCENTILE.EXC,Statistical
PERCENTILE.INC,Statistical
PERCENTRANK,Statistical
PERCENTRANK.EXC,Statistical
PERCENTRANK.INC,Statistical
PERMUTATIONA,Statistical
PERMUT,Statistical
PHI,Statistical
POISSON,Statistical
POISSON.DIST,Statistical
PROB,Statistical
QUARTILE,Statistical
QUARTILE.EXC,Statistical
QUARTILE.INC,Statistical
RANK,Statistical
RANK.AVG,Statistical
RANK.EQ,Statistical
RSQ,Statistical
SKEW,Statistical
SKEW.P,Statistical
SLOPE,Statistical
SMALL,Statistical
STANDARDIZE,Statistical
STDEV,Statistical
STDEV.P,Statistical
STDEV.S,Statistical
STDEVA,Statistical
STDEVP,Statistical
STDEVPA,Statistical
STEYX,Statistical
T.DIST,Statistical
T.DIST.2T,Statistical
T.DIST.RT,Statistical
T.INV,Statistical
T.INV.2T,Statistical
T.TEST,Statistical
TDIST,Statistical
TINV,Statistical
TRIMMEAN,Statistical
TTEST,Statistical
VAR,Statistical
VAR.P,Statistical
VAR.S,Statistical
VARA,Statistical
VARP,Statistical
VARPA,Statistical
WEIBULL,Statistical
WEIBULL.DIST,Statistical
Z.TEST,Statistical
ZTEST,Statistical
ARABIC,Text
ASC,Text
CHAR,Text
CLEAN,Text
CODE,Text
CONCATENATE,Text
DOLLAR,Text
EXACT,Text
FIND,Text
FINDB,Text
FIXED,Text
JOIN,Text
LEFT,Text
LEFTB,Text
LEN,Text
LENB,Text
LOWER,Text
MID,Text
MIDB,Text
PROPER,Text
REGEXEXTRACT,Text
REGEXMATCH,Text
REGEXREPLACE,Text
REPLACE,Text
REPLACEB,Text
REPT,Text
RIGHT,Text
RIGHTB,Text
ROMAN,Text
SEARCH,Text
SEARCHB,Text
SPLIT,Text
SUBSTITUTE,Text
T,Text
TEXT,Text
TEXTJOIN,Text
TRIM,Text
UNICHAR,Text
UNICODE,Text
UPPER,Text
VALUE,Text
ENCODEURL,Web
HYPERLINK,Web
IMPORTDATA,Web
IMPORTFEED,Web
IMPORTHTML,Web
IMPORTRANGE,Web
IMPORTXML,Web
ISURL,Web
